Experiment,Model,CV Score,Accuracy,Precision,Recall,F1,ROC-AUC
A: Stock features only,Logistic Regression,0.6339485838590307,0.5134328358208955,0.5389221556886228,0.5113636363636364,0.5247813411078717,0.5147226986849629
A: Stock features only,Random Forest,0.5271583244437102,0.46567164179104475,0.4881889763779528,0.3522727272727273,0.40924092409240925,0.4863314751286449
A: Stock features only,Gradient Boosting,0.6065114317950557,0.47761194029850745,0.5033112582781457,0.4318181818181818,0.4648318042813456,0.4829009433962264
A: Stock features only,XGBoost,0.5905861139956503,0.45671641791044776,0.4791666666666667,0.39204545454545453,0.43125,0.45415237278444825
B: Stock + DistilBERT sentiment,Logistic Regression,0.6339485838590307,0.5134328358208955,0.5389221556886228,0.5113636363636364,0.5247813411078717,0.5147226986849629
B: Stock + DistilBERT sentiment,Random Forest,0.5382041481031845,0.47761194029850745,0.5039370078740157,0.36363636363636365,0.42244224422442245,0.5023763579188107
B: Stock + DistilBERT sentiment,Gradient Boosting,0.6079035630494974,0.4835820895522388,0.5099337748344371,0.4375,0.4709480122324159,0.48243639222412804
B: Stock + DistilBERT sentiment,XGBoost,0.5905861139956503,0.45671641791044776,0.4791666666666667,0.39204545454545453,0.43125,0.45415237278444825
