date,Open,High,Low,Close,Volume,next_day_close,target,ticker,daily_return,3_day_return,7_day_return,5_day_moving_average,10_day_moving_average,volume_change_percent,volatility,average_sentiment,weighted_sentiment,positive_ratio,negative_ratio,sentiment_momentum,post_count,avg_score,avg_num_comments
2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,135480400,74.35749816894531,0,AAPL,-0.00972203551987938,-0.006525691410848911,0.055302097599551514,74.95800018310547,76.50249938964843,0.08002928836938783,0.012432274138105036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,146322800,74.94999694824219,1,AAPL,-0.00972203551987938,-0.006525691410848911,0.055302097599551514,74.95800018310547,76.50249938964843,0.08002928836938783,0.012432274138105036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,118387200,74.59750366210938,0,AAPL,0.007968245219206693,-0.006525691410848911,0.055302097599551514,74.95800018310547,76.50249938964843,-0.19091761502650306,0.012432274138105036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,108872000,75.79750061035156,1,AAPL,-0.0047030460371630944,-0.006525691410848911,0.055302097599551514,74.95800018310547,76.50249938964843,-0.08037355389771872,0.012432274138105036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,132079200,77.40750122070312,1,AAPL,0.016086288271489613,0.01936593453069735,0.055302097599551514,74.95800018310547,76.50249938964843,0.21316040855316332,0.012432274138105036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,170108400,77.5824966430664,1,AAPL,0.021240813976545425,0.03278858402299867,0.055302097599551514,75.42200012207032,76.50249938964843,0.2879272436538076,0.012432274138105036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,140644800,79.23999786376953,1,AAPL,0.0022607036734636488,0.04001464974588975,0.055302097599551514,76.06699981689454,76.50249938964843,-0.17320485055411727,0.012432274138105036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,121532000,78.16999816894531,0,AAPL,0.02136437073337283,0.045417028605133636,0.055302097599551514,76.925,76.50249938964843,-0.1358941105536785,0.012432274138105036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,161954400,77.83499908447266,0,AAPL,-0.013503277683875936,0.009850427106129711,0.05127256959799453,77.63949890136719,76.50249938964843,0.3326070499950631,0.013366755661136211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,121923600,78.80999755859375,1,AAPL,-0.004285519922216707,0.0032546315513399815,0.038492358288189754,78.0469985961914,76.50249938964843,-0.2471732784042916,0.014041586508190219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,108829200,79.68250274658203,1,AAPL,0.012526478905240834,-0.0054265562439191894,0.056469636243659416,78.32749786376954,76.87474899291992,-0.10739840359044517,0.013453954568744595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,79.06749725341797,79.68499755859375,78.75,79.68250274658203,137816400,79.14250183105469,0,AAPL,0.011070996257037002,0.019348914072734313,0.051255016391660524,78.74749908447265,77.4072494506836,0.26635498561047943,0.013077070252885419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,79.29750061035156,79.75499725341797,79.0,79.14250183105469,110843200,79.42500305175781,1,AAPL,-0.006776907061324833,0.01679839098042546,0.02241385631871462,78.72799987792969,77.82649993896484,-0.19571836153026778,0.0123445276458256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,101832400,79.80750274658203,1,AAPL,0.003569526034268966,0.007803648169216304,0.023748996080497742,78.97900085449218,78.30924987792969,-0.08129321419807445,0.012337190963150875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,104472000,79.57749938964844,0,AAPL,0.004815859995308536,0.0015687258267671478,0.007161848789902336,79.37350158691406,78.71025009155274,0.025921023171407098,0.009610629020630075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,146537600,77.23750305175781,0,AAPL,-0.002881976618964499,0.005496383719614251,0.018005644795604958,79.527001953125,78.92724990844727,0.40264951374530966,0.007544621567566975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,161940000,79.42250061035156,1,AAPL,-0.029405250929448234,-0.027541704953722213,-0.007676444269837934,79.03800201416016,78.8927505493164,0.10510885943266435,0.014301230750093895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,162234000,81.08499908447266,1,AAPL,0.02828933448469395,-0.004824134611165487,0.007771895327143286,79.09400177001953,78.9110008239746,0.001815487217488032,0.017639545269883265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,216229200,80.96749877929688,0,AAPL,0.020932336067801982,0.018943793237869988,0.017601057817561827,79.4260009765625,79.20250091552734,0.3328229594289729,0.018903986394451473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,80.13500213623047,81.02249908447266,79.6875,80.96749877929688,126743200,77.37750244140625,0,AAPL,-0.0014491004070108504,0.0482925467572346,0.02305963175308756,79.65800018310547,79.51575088500977,-0.41384789843369907,0.01856545159062083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,199588400,77.16500091552734,0,AAPL,-0.04433873334381144,-0.025748347801061056,-0.02577904352131144,79.21800079345704,79.37250137329102,0.5747464163757898,0.0258846676467097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,173788400,79.7125015258789,1,AAPL,-0.0027462960056099384,-0.04834430798798606,-0.03311094496272604,79.20350036621093,79.12075119018554,-0.1292660294886877,0.025639619140974523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,78.82749938964844,79.91000366210938,78.40750122070312,79.7125015258789,136616400,80.36250305175781,1,AAPL,0.03301367951955725,-0.015500012626533888,0.0016964862840114225,79.26150054931641,79.17775115966796,-0.21389229660897968,0.02934265889384861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,80.87999725341797,81.19000244140625,79.73750305175781,80.36250305175781,118826800,81.30249786376953,1,AAPL,0.008154323518098083,0.0385771124185863,0.04045961969933054,79.11700134277343,79.27150115966796,-0.13021569884728335,0.026204773634733457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,80.64250183105469,81.30500030517578,80.06500244140625,81.30249786376953,105425600,80.00749969482422,0,AAPL,0.011696932976394514,0.05361882847343602,0.023670839358751472,79.18400115966797,79.42100067138672,-0.11277927201607718,0.024548479503944107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,80.59249877929688,80.8499984741211,79.5,80.00749969482422,117684000,80.38749694824219,1,AAPL,-0.015928147387491265,0.0037007767075223352,-0.013288517010722534,79.71000061035156,79.4640007019043,0.11627536385849346,0.024163579377808362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,109348800,79.90249633789062,0,AAPL,0.0047495204183034545,0.00031101441014436126,-0.007163390740717701,80.35449981689453,79.77900009155273,-0.07082696033445501,0.024285728896017888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,94323200,81.80000305175781,1,AAPL,-0.006033284139495332,-0.017219661912783457,0.032632145220717224,80.39249877929687,79.82699966430664,-0.137409829828951,0.015592345841501501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,113730400,81.21749877929688,0,AAPL,0.023747777614394394,0.022404191654167516,0.06006611911149218,80.67999877929688,79.89850006103515,0.20575213733206676,0.016662185243208713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,94747600,81.23750305175781,1,AAPL,-0.007121078859769314,0.01032501150756171,0.018880316444834788,80.66299896240234,79.92350006103516,-0.16691051820797254,0.013401595055598093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,80113600,79.75,0,AAPL,0.0002463049559713326,0.016707947499183584,0.010888162597877837,80.90899963378907,80.30950012207032,-0.1544524610649769,0.013202150737371842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,78.83999633789062,79.9375,78.65249633789062,79.75,152531200,80.90499877929688,1,AAPL,-0.018310546187148335,-0.02506116106695866,-0.019095327998051137,80.78150024414063,80.56800003051758,0.9039364102973777,0.014218425823898649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,80.0,81.14250183105469,80.0,80.90499877929688,93984000,80.07499694824219,0,AAPL,0.014482743314067292,-0.0038476929811541716,0.011217686940549587,80.98200073242188,80.68724975585937,-0.3838375361893174,0.014135948029520637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,80.65750122070312,81.1624984741211,79.55249786376953,80.07499694824219,100566000,78.26249694824219,0,AAPL,-0.010258968463974338,-0.01430996842400456,-0.0038874204554621983,80.63699951171876,80.65849914550782,0.07003319713993861,0.014719001815903503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,79.65499877929688,80.11250305175781,77.625,78.26249694824219,129554000,74.54499816894531,0,AAPL,-0.02263503052234317,-0.018652075884110553,-0.020525008163865488,80.0459991455078,80.35449905395508,0.2882485134140764,0.01693646094270014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,222195200,72.0199966430664,0,AAPL,-0.047500385551912494,-0.07861072500231037,-0.0886919879235456,78.7074981689453,79.8082489013672,0.7150778825817805,0.01951132883241607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,75.23750305175781,75.63249969482422,71.53250122070312,72.0199966430664,230673600,73.1624984741211,1,AAPL,-0.033872179058296537,-0.10059320152559315,-0.11324532612391902,77.1614974975586,78.97149887084962,0.038157439944697336,0.020745542278727984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,71.63249969482422,74.47000122070312,71.625,73.1624984741211,198054800,68.37999725341797,0,AAPL,0.015863675150069367,-0.06516529210017297,-0.09939996029287101,75.61299743652344,78.29749908447266,-0.14140673228319145,0.02354027756199231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,70.2750015258789,71.5,68.23999786376953,68.37999725341797,320605600,68.33999633789062,0,AAPL,-0.06536820530254006,-0.08270173810394732,-0.14257056735526052,73.2739974975586,76.95549850463867,0.618772178205224,0.030473353643145358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,64.31500244140625,69.60250091552734,64.09249877929688,68.33999633789062,426510000,74.70249938964844,1,AAPL,-0.0005849797767482068,-0.0510969241419712,-0.15530563785907336,71.28949737548828,75.66774826049804,0.330326107840911,0.027949998278293215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,70.56999969482422,75.36000061035156,69.43000030517578,74.70249938964844,341397200,72.33000183105469,0,AAPL,0.09310072274952952,0.021049047635682827,-0.06709332205240481,71.32099761962891,75.01424789428711,-0.19955639961548377,0.05256296636850477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
