date,Open,High,Low,Close,Volume,next_day_close,target,ticker,daily_return,3_day_return,7_day_return,5_day_moving_average,10_day_moving_average,volume_change_percent,volatility,average_sentiment,weighted_sentiment,positive_ratio,negative_ratio,sentiment_momentum,post_count,avg_score,avg_num_comments
2020-01-02,93.75,94.90049743652344,93.2074966430664,94.90049743652344,80580000,93.74849700927734,0,AMZN,-0.012139034655920922,0.004662829961544546,-0.0035352290470511694,94.7468994140625,94.40829925537109,-0.0656738644825019,0.009687145318193245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,93.2249984741211,94.30999755859376,93.2249984741211,93.74849700927734,75288000,95.1439971923828,1,AMZN,-0.012139034655920922,0.004662829961544546,-0.0035352290470511694,94.7468994140625,94.40829925537109,-0.0656738644825019,0.009687145318193245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,93.0,95.18450164794922,93.0,95.1439971923828,81236000,95.34300231933594,1,AMZN,0.01488557393050649,0.004662829961544546,-0.0035352290470511694,94.7468994140625,94.40829925537109,0.07900329401763884,0.009687145318193245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,95.2249984741211,95.69450378417967,94.60199737548828,95.34300231933594,80898000,94.59850311279295,0,AMZN,0.0020916204156395946,0.004662829961544546,-0.0035352290470511694,94.7468994140625,94.40829925537109,-0.004160716923531482,0.009687145318193245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,94.9020004272461,95.5500030517578,94.3219985961914,94.59850311279295,70160000,95.05249786376952,1,AMZN,-0.007808640261289468,0.009066877130110118,-0.0035352290470511694,94.7468994140625,94.40829925537109,-0.1327350490741428,0.009687145318193245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,95.49449920654295,95.89099884033205,94.79000091552734,95.05249786376952,63346000,94.15799713134766,0,AMZN,0.0047991747864684076,-0.0009616931316042132,-0.0035352290470511694,94.77729949951171,94.40829925537109,-0.09712086659064989,0.009687145318193245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,95.26850128173828,95.34700012207033,94.0,94.15799713134766,57074000,94.56500244140624,1,AMZN,-0.009410596802031157,-0.012428863777745325,-0.0035352290470511694,94.85919952392577,94.40829925537109,-0.09901177659204996,0.009687145318193245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,94.56549835205078,94.9000015258789,94.04000091552734,94.56500244140624,55616000,93.47200012207033,0,AMZN,0.00432257824569926,-0.00035413532227646094,-0.0035352290470511694,94.74340057373045,94.40829925537109,-0.025545782668115025,0.009687145318193245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,94.29399871826172,94.35549926757812,92.92749786376952,93.47200012207033,68818000,93.10099792480467,0,AMZN,-0.01155821171805238,-0.016627629754289885,-0.0029493474138541087,94.36920013427734,94.40829925537109,0.23737773302646725,0.009572299371783806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,93.6125030517578,93.94300079345705,92.75450134277344,93.10099792480467,57932000,93.89700317382812,1,AMZN,-0.003969126548925228,-0.011225803848275318,-0.021472707978067662,94.06969909667968,94.40829925537109,-0.1581853584817926,0.006815817750867934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
