date,Open,High,Low,Close,Volume,next_day_close,target,ticker,daily_return,3_day_return,7_day_return,5_day_moving_average,10_day_moving_average,volume_change_percent,volatility,average_sentiment,weighted_sentiment,positive_ratio,negative_ratio,sentiment_momentum,post_count,avg_score,avg_num_comments
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,22622100,158.6199951171875,0,MSFT,-0.012451749849331062,-0.01892661797128592,0.01656085009944519,159.18799743652343,160.7959976196289,-0.0665676484499671,0.011402919018280422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,21116200,159.02999877929688,1,MSFT,-0.012451749849331062,-0.01892661797128592,0.01656085009944519,159.18799743652343,160.7959976196289,-0.0665676484499671,0.011402919018280422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,20813700,157.5800018310547,0,MSFT,0.0025848170138100812,-0.01892661797128592,0.01656085009944519,159.18799743652343,160.7959976196289,-0.01432549417035267,0.011402919018280422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,21634100,160.08999633789062,1,MSFT,-0.009117757400316062,-0.01892661797128592,0.01656085009944519,159.18799743652343,160.7959976196289,0.039416345964436994,0.011402919018280422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,27746500,162.08999633789062,1,MSFT,0.0159283822672307,0.009267439578579673,0.01656085009944519,159.18799743652343,160.7959976196289,0.2825354417331898,0.011402919018280422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,21385000,161.33999633789062,0,MSFT,0.012492972988635387,0.019241637314230564,0.01656085009944519,159.48199768066405,160.7959976196289,-0.22927216045266974,0.011402919018280422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,20725900,163.27999877929688,1,MSFT,-0.004627059145812851,0.02386086091601336,0.01656085009944519,160.0259979248047,160.7959976196289,-0.030820668693009146,0.011402919018280422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,21626500,162.1300048828125,0,MSFT,0.01202431192165987,0.019926307167084545,0.01656085009944519,160.8759979248047,160.7959976196289,0.04345287780024032,0.011402919018280422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,23477400,163.17999267578125,1,MSFT,-0.007043078791535318,0.0002468292049218057,0.0221284193271587,161.78599853515624,160.7959976196289,0.08558481492613224,0.01036440317245754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,21417900,166.1699981689453,1,MSFT,0.006476208976417874,0.011404464978647777,0.026095667033512182,162.40399780273438,160.7959976196289,-0.08772266094201231,0.010431458445581694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,23865400,167.10000610351562,1,MSFT,0.018323358422406733,0.01769965342512525,0.054511970034752055,163.21999816894532,161.3509979248047,0.11427357490697032,0.009941760626820206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,34371700,166.5,0,MSFT,0.005596725912127454,0.03065441973122396,0.043787931326011664,164.37200012207032,162.1989990234375,0.44023146479841113,0.009251495491005669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,29517200,165.6999969482422,0,MSFT,-0.0035907006678619346,0.020345676389477374,0.027207130370441535,165.01600036621093,162.9459991455078,-0.14123537677798892,0.009417385891348868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,24138800,166.72000122070312,1,MSFT,-0.00480482313368058,-0.002828436094855502,0.02702368110397435,165.72999877929686,163.75799865722655,-0.18221240497066116,0.009444350282653292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,19680800,165.0399932861328,0,MSFT,0.00615572897553851,-0.0022741165106666683,0.021068118980427375,166.43800048828126,164.4209991455078,-0.18468192287934782,0.008839354674364856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,24918100,162.27999877929688,0,MSFT,-0.010076822950272901,-0.008768809092295382,0.017948487730100604,166.21199951171874,164.71599884033202,0.2661121499126051,0.00946685906270336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,32078100,165.4600067138672,1,MSFT,-0.016723186010138114,-0.02063969964956358,-0.0055153446309594845,165.247998046875,164.80999908447265,0.2873413301977277,0.011679070081914133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,24899900,168.0399932861328,1,MSFT,0.019595809455823066,-0.007557548570120032,-0.004272681367886166,165.03999938964844,165.0279998779297,-0.2237726049859562,0.012029715705918995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
